1:  72 107 130 150 164 189 194 200 203 220 
57:  65 118 125 148 151 157 172 181 184 188 197 208 230 7 
58:  68 114 163 176 191 202 204 209 211 222 33 23 15 9 
59:  80 97 144 185 204 225 248 50 49 44 
60:  63 96 111 199 237 25 
61:  87 89 111 130 194 234 
62:  71 78 90 128 138 188 233 239 240 27 21 
63:  96 199 237 60 25 
64:  91 109 119 134 137 145 146 183 215 218 227 47 29 
65:  71 125 138 148 151 157 181 184 188 197 208 230 240 57 27 21 7 
66:  149 206 209 39 24 15 
67:  83 112 217 55 45 5 3 
68:  114 160 165 176 191 202 204 222 58 44 23 9 
69:  107 128 173 
70:  79 84 100 174 179 212 214 244 51 30 19 
71:  135 148 157 181 184 188 230 233 240 65 62 27 21 7 
72:  107 150 177 186 189 200 203 220 249 1 
73:  120 145 56 53 34 22 
74:  109 126 183 215 38 
75:  89 116 164 190 194 220 247 40 20 
76:  95 115 153 228 241 45 37 3 
77:  78 102 138 151 187 208 226 240 52 32 26 5 4 
78:  112 128 138 159 239 240 77 62 55 26 4 
79:  84 110 174 179 212 214 70 51 30 19 2 
80:  97 149 202 204 225 59 50 49 44 39 24 15 
81:  119 134 146 227 229 53 41 17 
82:  85 152 175 207 212 244 246 43 30 11 8 
83:  95 104 201 217 232 67 48 45 
84:  100 103 106 131 174 179 192 193 243 79 70 19 
85:  152 175 246 82 11 8 
86:  108 135 141 51 42 18 14 2 
87:  111 130 136 194 234 61 
88:  98 182 41 36 35 12 
89:  116 127 130 164 194 75 61 40 20 
90:  113 173 233 242 62 
91:  109 119 134 137 145 146 218 224 227 64 47 29 
92:  122 132 139 171 172 205 235 
93:  97 144 160 168 176 185 187 191 202 204 226 231 248 52 49 44 32 
94:  141 198 242 35 28 18 12 
95:  115 153 216 83 76 45 37 
96:  199 237 63 60 25 
97:  144 160 168 176 185 191 202 204 225 231 248 93 80 59 50 49 44 
98:  117 178 236 88 36 16 6 
99:  129 140 147 162 54 16 6 
100:  103 133 174 192 84 70 19 13 
101:  108 110 122 125 139 156 157 181 196 205 214 219 42 7 
102:  138 187 226 240 77 52 32 26 5 
103:  174 192 243 100 84 19 13 
104:  144 185 201 217 232 248 83 50 48 45 32 5 
105:  106 123 131 143 193 243 246 10 
106:  123 131 143 179 193 243 246 105 84 10 
107:  130 173 200 203 72 69 1 
108:  110 122 135 139 156 181 196 205 214 219 101 86 42 2 
109:  126 137 146 183 215 218 91 74 64 47 38 29 
110:  122 139 156 196 205 207 210 212 214 219 221 108 101 79 51 2 
111:  87 61 60 25 
112:  128 136 159 234 239 78 67 55 4 
113:  121 158 170 182 198 223 242 90 28 12 
114:  163 176 191 202 204 209 211 222 225 68 58 33 24 23 15 9 
115:  153 228 241 95 76 37 31 3 
116:  164 190 194 220 247 89 75 40 20 
117:  140 147 167 178 236 98 54 16 6 
118:  124 142 151 155 165 172 180 184 197 208 213 57 
119:  120 134 137 145 146 227 91 81 64 56 53 
120:  145 161 229 119 73 56 53 34 22 
121:  158 170 182 198 223 242 113 41 28 17 12 
122:  139 156 196 205 207 210 214 219 221 110 108 101 92 
123:  175 246 106 105 10 
124:  142 155 165 171 172 180 197 213 235 118 
125:  148 157 172 181 184 197 230 101 65 57 7 
126:  183 215 109 74 38 
127:  89 20 
128:  136 159 173 239 112 78 69 62 55 4 
129:  133 147 166 178 236 99 16 14 13 6 
130:  194 234 107 89 87 61 1 
131:  143 179 193 243 106 105 84 
132:  154 171 235 238 92 
133:  166 129 100 51 14 13 
134:  137 145 146 227 119 91 81 64 53 17 
135:  141 181 230 108 86 71 42 
136:  159 234 128 112 87 55 
137:  145 146 183 215 218 224 227 134 119 109 91 64 47 29 
138:  151 188 226 233 239 240 102 78 77 65 62 27 26 21 4 
139:  156 196 205 210 214 219 221 122 110 108 101 92 
140:  147 162 117 99 54 16 6 
141:  135 94 86 42 35 18 2 
142:  154 155 165 171 172 180 195 213 235 238 124 118 9 
143:  152 175 179 193 212 244 246 131 106 105 30 11 8 
144:  168 185 187 201 204 231 232 248 104 97 93 59 50 49 48 44 32 
145:  146 137 134 120 119 91 73 64 56 53 34 22 
146:  218 224 227 145 137 134 119 109 91 81 64 47 29 
147:  162 166 140 129 117 99 54 16 6 
148:  157 181 184 188 197 230 125 71 65 57 7 
149:  163 206 209 211 222 225 80 66 39 24 15 
150:  164 169 177 186 189 190 203 220 72 40 1 
151:  168 187 208 226 231 138 118 77 65 57 52 32 
152:  179 207 210 212 221 244 246 143 85 82 43 30 11 8 
153:  228 241 115 95 76 37 31 3 
154:  171 195 235 238 245 142 132 
155:  165 171 172 180 197 213 235 238 142 124 118 
156:  196 205 207 210 212 214 219 221 139 122 110 108 101 43 30 
157:  181 184 188 197 230 148 125 101 71 65 57 42 7 
158:  170 200 203 223 229 249 121 113 17 
159:  234 239 136 128 112 78 55 4 
160:  168 176 187 191 202 204 225 231 97 93 68 49 44 32 
161:  169 177 186 189 229 249 120 56 46 
162:  192 147 140 99 13 
163:  202 209 211 222 225 149 114 58 33 24 15 
164:  190 194 220 247 150 116 89 75 40 20 1 
165:  171 172 180 191 213 155 142 124 118 68 
166:  236 147 133 129 16 14 6 
167:  224 117 47 29 
168:  187 204 208 226 231 248 160 151 144 97 93 52 44 32 
169:  177 186 189 190 220 161 150 46 
170:  182 198 223 229 249 158 121 113 41 28 17 12 
171:  172 180 213 235 238 245 165 155 154 142 132 124 92 
172:  180 197 213 235 171 165 155 142 125 124 118 92 57 
173:  128 107 90 69 
174:  179 192 243 103 100 84 79 70 19 13 
175:  246 143 123 85 82 11 10 
176:  191 202 204 222 225 160 114 97 93 68 58 49 44 23 
177:  186 189 203 249 169 161 150 72 46 
178:  236 129 117 98 16 6 
179:  193 212 244 174 152 143 131 106 84 79 70 30 19 8 
180:  213 172 171 165 155 142 124 118 
181:  184 188 196 230 157 148 135 125 108 101 71 65 57 42 7 
182:  198 223 242 170 121 113 88 41 36 28 17 12 
183:  215 137 126 109 74 64 38 
184:  188 197 230 181 157 148 125 118 71 65 57 27 21 7 
185:  201 232 248 144 104 97 93 59 50 49 48 44 32 
186:  189 203 249 177 169 161 150 72 46 
187:  208 226 231 248 168 160 151 144 102 93 77 52 32 
188:  230 233 240 184 181 157 148 138 71 65 62 57 27 21 7 
189:  200 203 220 249 186 177 169 161 150 72 1 
190:  220 247 169 164 150 116 75 40 20 
191:  202 204 222 225 231 176 165 160 114 97 93 68 58 49 44 
192:  243 174 162 103 100 84 19 13 
193:  243 179 143 131 106 105 84 
194:  220 164 130 116 89 87 75 61 40 20 1 
195:  238 245 154 142 23 9 
196:  205 214 219 181 156 139 122 110 108 101 42 
197:  230 184 172 157 155 148 125 124 118 65 57 7 
198:  223 242 182 170 121 113 94 41 35 28 12 
199:  237 96 63 60 25 
200:  203 223 249 189 158 107 72 1 
201:  216 217 232 248 185 144 104 83 50 48 32 
202:  204 209 211 222 225 191 176 163 160 114 97 93 80 68 58 49 44 15 
203:  249 200 189 186 177 158 150 107 72 1 
204:  222 225 231 202 191 176 168 160 144 114 97 93 80 68 59 58 49 44 15 
205:  207 210 214 219 221 196 156 139 122 110 108 101 92 
206:  209 149 66 39 24 
207:  210 212 214 219 221 244 205 156 152 122 110 82 43 30 11 8 
208:  226 231 187 168 151 118 77 65 57 52 32 
209:  211 222 225 206 202 163 149 114 66 58 39 24 15 
210:  212 214 219 221 244 207 205 156 152 139 122 110 43 30 8 
211:  222 225 209 202 163 149 114 58 39 24 15 
212:  214 219 221 244 210 207 179 156 152 143 110 82 79 70 43 30 11 8 
213:  235 238 180 172 171 165 155 142 124 118 
214:  219 221 212 210 207 205 196 156 139 122 110 108 101 79 70 51 30 
215:  183 137 126 109 74 64 38 
216:  232 201 95 48 
217:  232 201 104 83 67 55 48 45 26 5 
218:  224 227 146 137 109 91 64 47 29 
219:  221 214 212 210 207 205 196 156 139 122 110 108 101 43 30 
220:  247 194 190 189 169 164 150 116 75 72 40 20 1 
221:  219 214 212 210 207 205 156 152 139 122 110 43 30 8 
222:  225 211 209 204 202 191 176 163 149 114 68 58 49 44 33 24 23 15 
223:  242 249 200 198 182 170 158 121 113 28 17 
224:  218 167 146 137 91 47 29 
225:  222 211 209 204 202 191 176 163 160 149 114 97 80 59 49 44 24 15 
226:  231 208 187 168 151 138 102 93 77 52 32 26 5 
227:  218 146 137 134 119 91 81 64 29 
228:  241 153 115 76 37 31 3 
229:  249 170 161 158 120 81 53 17 
230:  197 188 184 181 157 148 135 125 71 65 57 27 21 7 
231:  248 226 208 204 191 187 168 160 151 144 97 93 52 44 32 
232:  248 217 216 201 185 144 104 83 50 48 45 
233:  240 188 138 90 71 62 27 21 
234:  159 136 130 112 87 61 
235:  238 213 172 171 155 154 142 132 124 92 
236:  178 166 129 117 98 16 6 
237:  199 96 63 60 
238:  245 235 213 195 171 155 154 142 132 
239:  240 159 138 128 112 78 62 55 26 4 
240:  239 233 188 138 102 78 77 71 65 62 27 26 21 4 
241:  228 153 115 76 37 31 3 
242:  223 198 182 121 113 94 90 28 12 
243:  193 192 174 131 106 105 103 84 19 
244:  246 212 210 207 179 152 143 82 70 43 30 11 8 
245:  238 195 171 154 
246:  244 175 152 143 123 106 105 85 82 11 10 8 
247:  220 190 164 116 75 40 20 
248:  232 231 201 187 185 168 144 104 97 93 59 50 49 48 44 32 
249:  229 223 203 200 189 186 177 170 161 158 72 
250:  
Компонента 1:  96-60 25-111 25-96 25-63 25-60 199-25 199-60 199-63 237-60 237-63 237-96 199-237 96-199 63-96 60-63 111-60 
Компонента 2:  107-1 130-1 194-1 220-1 220-72 169-220 177-72 186-72 186-169 189-1 189-72 189-169 189-177 189-220 200-1 200-72 200-107 203-1 203-72 203-107 203-177 203-186 203-189 249-72 249-177 249-186 249-189 249-200 170-249 198-170 223-170 223-182 223-200 223-249 121-223 121-198 121-182 121-170 90-242 173-107 69-173 69-107 128-69 159-128 87-194 87-136 87-130 61-234 61-194 61-130 89-194 89-130 116-247 116-220 116-194 116-190 164-1 164-89 150-1 40-247 40-220 40-194 40-190 40-164 40-116 40-89 20-247 20-220 20-194 20-190 20-164 127-89 20-127 20-116 20-89 20-40 75-20 75-247 75-220 75-194 75-190 75-164 75-116 75-89 40-75 150-40 150-72 150-220 150-203 150-190 150-189 150-186 150-177 150-169 164-150 164-247 164-220 164-194 164-190 116-164 89-116 61-89 61-87 111-61 87-111 234-87 239-128 239-159 233-90 188-240 181-230 210-205 212-207 214-196 214-205 214-207 214-210 219-196 219-205 219-207 219-210 219-212 108-219 108-214 108-205 108-196 108-181 108-156 108-139 135-230 135-181 35-198 35-141 36-182 41-35 41-198 41-182 41-170 41-121 81-229 120-229 145-119 146-81 146-119 224-146 47-224 47-218 47-146 64-218 64-146 64-145 64-119 91-47 91-224 91-218 91-146 91-145 91-119 109-47 109-64 109-218 109-146 183-64 183-109 215-64 38-215 38-183 38-126 38-109 74-38 74-183 74-126 74-109 215-74 215-109 215-126 137-47 137-64 137-91 137-109 137-119 29-224 29-218 29-167 29-146 29-137 29-109 29-91 29-64 29-47 227-29 227-64 227-81 227-91 227-119 17-229 17-223 17-182 17-170 17-158 17-121 17-81 17-41 134-17 53-229 53-145 53-120 53-119 53-81 46-186 46-177 46-169 161-46 161-120 161-249 161-229 161-189 161-186 161-177 161-169 56-161 56-145 56-120 56-119 22-145 22-120 22-73 22-56 22-53 34-22 34-145 34-120 34-56 34-53 73-34 73-53 73-145 73-120 56-73 53-56 134-53 134-64 134-81 134-91 134-119 134-146 134-145 134-137 227-134 227-146 227-218 137-227 137-224 137-218 137-183 137-146 137-145 215-137 183-215 126-183 109-126 91-109 64-91 47-64 167-47 147-117 162-140 244-207 244-210 244-212 143-246 143-244 143-212 143-193 143-179 8-246 8-244 8-221 8-212 8-210 8-207 8-179 8-152 8-143 8-85 8-82 8-43 8-30 11-8 11-246 11-244 11-212 11-207 11-175 11-152 11-143 11-85 11-82 11-43 30-11 30-244 30-221 30-219 30-214 30-212 30-210 30-207 30-179 30-156 30-152 30-143 30-82 70-244 70-214 70-212 70-179 79-30 79-214 79-212 79-179 79-110 84-70 84-243 84-193 84-192 84-179 106-246 106-243 106-193 106-179 106-143 10-246 10-175 10-123 10-106 105-10 105-246 105-243 105-193 105-143 131-84 131-106 131-243 131-193 131-179 131-143 105-131 105-106 123-105 123-246 123-175 106-123 84-106 100-70 100-192 103-84 103-243 103-192 13-192 13-174 13-162 129-147 133-13 133-100 14-133 14-129 18-141 18-94 51-14 51-214 51-133 51-110 86-14 86-18 2-141 2-110 2-108 2-86 2-79 2-51 2-18 2-14 42-2 42-196 42-181 42-141 42-135 42-108 101-219 101-214 101-205 101-196 101-181 101-156 101-139 125-230 125-197 125-184 125-181 148-230 148-197 148-188 148-184 148-181 157-42 65-240 65-230 65-197 65-188 65-184 65-181 65-157 65-148 138-240 138-239 138-233 138-188 151-65 187-151 208-65 208-151 208-168 226-138 226-151 226-168 226-187 231-151 231-168 231-187 231-208 248-168 248-187 201-248 201-232 153-95 228-115 45-232 45-217 45-95 48-248 48-232 48-217 48-216 48-201 50-248 50-232 50-201 59-248 80-50 97-50 97-59 97-248 97-231 97-168 144-48 144-50 144-59 144-248 144-232 144-231 144-201 144-187 185-48 185-50 185-59 185-97 104-45 104-48 104-50 83-45 83-48 3-241 3-228 3-153 3-115 3-76 3-45 31-241 31-228 31-153 31-115 37-31 37-241 37-228 37-153 37-115 37-95 37-76 3-37 67-3 67-45 55-239 55-217 55-159 55-136 55-128 55-112 21-240 21-233 21-230 21-188 21-184 21-138 21-71 21-65 21-62 27-21 27-240 27-233 27-230 27-188 27-184 27-138 27-71 27-65 62-27 62-240 62-239 62-233 62-188 62-138 62-128 62-90 62-71 78-62 77-240 77-226 77-208 77-187 77-151 77-138 52-231 52-226 52-208 52-187 52-168 52-151 93-248 93-231 93-226 93-187 93-185 93-168 5-226 5-217 5-104 5-102 5-77 5-67 5-55 4-240 4-239 4-159 4-138 4-128 4-112 4-78 4-77 4-55 4-5 26-4 26-240 26-239 26-226 26-217 26-138 26-102 26-78 26-77 26-55 5-26 32-5 32-248 32-231 32-226 32-208 32-201 32-187 32-185 32-168 32-151 32-144 32-104 32-102 32-93 32-77 32-52 160-32 160-97 160-231 160-187 176-93 176-97 191-93 191-97 191-160 191-231 202-80 202-93 202-97 202-160 202-176 204-59 204-80 204-93 204-97 204-144 204-160 204-168 204-176 204-191 204-231 222-176 222-191 222-202 225-59 225-80 225-97 225-160 225-176 225-191 225-202 225-204 211-202 209-202 149-80 149-225 149-222 149-211 149-209 68-222 68-204 68-202 68-191 68-176 165-191 172-125 172-165 172-197 180-165 180-171 213-165 213-171 213-172 235-171 235-172 238-171 238-213 245-171 92-235 92-205 92-172 92-171 92-139 92-122 132-92 132-238 132-235 132-171 154-132 9-195 9-114 9-68 23-222 23-195 23-176 23-114 23-68 33-9 33-222 33-163 33-114 58-9 15-225 15-222 15-211 15-209 15-204 15-202 15-163 15-149 15-114 15-80 44-248 44-231 44-225 44-222 44-204 44-202 44-191 44-185 44-176 44-168 44-160 44-144 44-97 44-93 44-80 44-68 44-59 49-44 49-248 49-225 49-222 49-204 49-202 49-191 49-185 49-176 49-160 49-144 49-97 49-93 49-80 49-59 15-49 24-225 24-222 24-211 24-209 24-206 24-163 24-149 24-114 24-80 39-15 39-211 39-209 39-206 39-149 39-80 66-15 66-24 66-209 66-206 66-149 39-66 24-39 15-24 58-15 58-23 58-222 58-211 58-209 58-204 58-202 58-191 58-176 58-163 58-114 58-68 33-58 23-33 9-23 142-9 142-238 142-235 142-213 142-195 142-180 142-172 142-171 142-165 7-230 7-197 7-188 7-184 7-181 7-157 7-148 7-125 7-101 7-71 7-65 7-42 57-7 57-230 57-208 57-197 57-188 57-184 57-181 57-172 57-157 57-151 57-148 57-125 57-65 118-57 118-213 118-208 118-197 118-184 118-180 118-172 118-165 118-155 118-151 118-142 124-118 124-235 124-213 124-197 124-180 124-172 124-171 124-165 124-142 155-124 155-238 155-235 155-213 155-197 155-180 155-172 155-171 155-165 142-155 154-142 154-245 154-238 154-235 154-171 195-154 195-238 245-195 238-245 235-238 213-235 180-213 172-180 171-172 165-171 68-165 68-160 114-68 114-225 114-222 114-211 114-209 114-204 114-202 114-191 114-176 163-114 163-225 163-222 163-211 163-209 163-202 149-163 206-149 209-206 209-225 209-222 211-209 211-222 225-211 222-225 204-222 202-204 191-202 176-191 160-176 160-168 93-160 93-144 93-97 52-93 52-77 102-52 102-240 102-226 102-187 102-138 77-102 78-77 78-240 78-239 78-159 78-138 78-128 78-112 55-78 67-55 67-217 67-112 83-67 83-232 83-217 83-201 83-95 104-83 104-248 104-232 104-217 104-201 104-144 185-104 185-248 185-232 185-201 144-185 144-168 97-144 80-97 59-80 50-59 48-50 45-48 76-45 76-228 76-153 76-115 76-95 241-76 241-115 241-153 228-241 153-228 115-153 95-115 216-95 216-232 201-216 217-201 232-217 248-232 231-248 226-231 208-226 187-208 168-187 151-168 138-151 65-138 65-125 71-65 71-240 71-233 71-230 71-188 71-184 71-181 71-148 71-135 157-71 157-101 157-125 157-230 157-197 157-188 157-184 157-181 148-157 125-148 101-125 101-122 101-110 101-108 42-101 86-42 86-141 86-135 86-108 51-86 51-79 51-70 18-51 18-35 14-18 166-14 166-129 166-147 236-117 236-129 16-236 16-178 16-166 16-147 16-140 16-129 16-117 54-147 54-140 54-117 6-236 6-178 6-166 6-147 6-140 6-129 6-117 6-98 6-54 6-16 99-6 99-16 99-162 99-147 99-140 99-129 54-99 16-54 98-16 98-36 12-242 12-198 12-182 12-170 12-121 12-113 12-94 12-41 12-36 12-35 28-242 28-223 28-198 28-182 28-170 28-121 28-113 28-94 28-41 28-35 12-28 88-12 88-35 88-36 88-41 88-182 98-88 98-236 98-117 178-98 178-117 178-129 236-178 166-236 133-166 129-133 13-129 13-103 13-100 19-13 19-243 19-192 19-179 19-103 19-100 19-84 19-79 19-70 174-19 174-70 174-79 174-84 174-100 174-243 174-192 174-179 103-174 100-103 84-100 79-84 70-79 30-70 43-30 43-244 43-221 43-219 43-212 43-210 43-207 43-156 43-152 82-43 82-246 82-244 82-212 82-207 82-175 82-152 85-82 85-246 85-175 152-85 152-246 152-244 152-221 152-212 152-210 152-207 152-179 143-152 175-143 246-175 244-246 179-244 179-212 193-179 243-193 192-243 162-192 147-162 140-147 117-140 167-117 224-167 218-224 146-218 145-146 120-145 119-120 81-119 41-81 36-41 35-36 94-35 94-242 94-198 141-94 135-141 108-135 108-122 110-108 110-221 110-219 110-214 110-212 110-210 110-207 110-205 110-196 110-156 110-139 122-110 122-221 122-219 122-214 122-210 122-207 122-205 122-196 122-156 139-122 139-221 139-219 139-214 139-210 139-205 139-196 156-139 156-219 156-214 156-212 156-210 156-207 156-205 156-196 221-156 221-205 221-207 221-210 221-212 221-214 219-221 214-219 212-214 210-212 207-210 205-207 196-205 181-196 181-188 184-181 184-230 184-188 197-184 230-197 188-230 233-188 240-233 239-240 112-239 112-159 112-136 112-128 234-112 234-130 234-136 159-234 136-159 128-136 173-128 90-173 113-90 113-242 113-223 113-198 113-182 113-170 113-121 158-113 158-249 158-229 158-223 158-203 158-200 158-170 121-158 242-121 242-182 242-198 223-242 198-223 182-198 170-182 229-170 249-229 203-249 200-203 189-200 186-189 177-186 169-177 190-169 190-220 247-190 220-247 194-220 130-194 107-130 72-107 1-72 
